"ScQGD","T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","alphaQGD","p","pMean","rho","tauQGD","Points:0","Points:1","Points:2"
0.5,1.1299,1.1256,0.0081622,-0.0007599,0,0,0,0,0.5,0.70611,0.70223,0.8747,2.3235e-05,0.99123,0.0017279,0
0.5,1.1325,1.1283,0.0091766,-0.00075295,0,0,0,0,0.5,0.70964,0.70581,0.87707,2.3249e-05,1,0,0
0.5,1.2086,1.206,0.04687,-0.0033609,0,0,0,0,0.5,0.69281,0.68745,0.80243,2.2648e-05,0.24552,-0.055173,0
0.5,1.1779,1.1753,0.037057,-0.0034843,0,0,0,0,0.5,0.71046,0.70454,0.84518,2.2957e-05,0.19155,-0.050687,0
0.5,1.2178,1.215,0.047942,-0.0018352,0,0,0,0,0.5,0.66947,0.66457,0.76971,2.2511e-05,0.29959,-0.058128,0
0.5,1.2244,1.2214,0.049952,5.76e-06,0,0,0,0,0.5,0.64544,0.64088,0.73788,2.2367e-05,0.35373,-0.059237,0
0.5,1.198,1.195,0.041685,0.0018587,0,0,0,0,0.5,0.63219,0.62778,0.73893,2.2499e-05,0.40787,-0.057987,0
0.5,1.1504,1.1474,0.025624,0.0022701,0,0,0,0,0.5,0.63765,0.63324,0.77649,2.2839e-05,0.46189,-0.054345,0
0.5,1.1189,1.1161,0.013882,0.0017145,0,0,0,0,0.5,0.65771,0.65319,0.82302,2.3066e-05,0.51576,-0.048767,0
0.5,1.1128,1.11,0.010871,0.0015024,0,0,0,0,0.5,0.68006,0.67546,0.85551,2.3093e-05,0.56948,-0.041925,0
0.5,1.1154,1.1126,0.010575,0.0015375,0,0,0,0,0.5,0.69851,0.69388,0.87666,2.308e-05,0.62311,-0.034398,0
0.5,1.1168,1.1139,0.0092869,0.0013764,0,0,0,0,0.5,0.71379,0.70922,0.89472,2.3121e-05,0.6767,-0.026614,0
0.5,1.1172,1.1143,0.0079106,0.0011212,0,0,0,0,0.5,0.72683,0.72236,0.91069,2.3208e-05,0.73031,-0.018974,0
0.5,1.1179,1.115,0.0071138,0.00089787,0,0,0,0,0.5,0.73725,0.73294,0.92317,2.3315e-05,0.78401,-0.011917,0
0.5,1.1192,1.1162,0.006637,0.00068238,0,0,0,0,0.5,0.74482,0.74071,0.93157,2.3426e-05,0.83782,-0.0058409,0
0.5,1.1218,1.1188,0.0066507,0.00044534,0,0,0,0,0.5,0.7502,0.74631,0.93612,2.3516e-05,0.89177,-0.0012258,0
0.5,1.1305,1.1274,0.011627,-0.00019073,0,0,0,0,0.5,0.74233,0.73871,0.91933,2.3498e-05,0.94587,0.0011241,0
0.5,1.1691,1.166,0.003555,0.050792,0,0,0,0,0.5,1.0419,1.0425,1.2479,2.2995e-05,0,0,0
0.5,1.1862,1.1821,0.021455,0.078639,0,0,0,0,0.5,0.98375,0.9877,1.1623,2.2756e-05,0.00025747,0.0017279,0
0.5,1.1614,1.1594,0.0013282,0.0070243,0,0,0,0,0.5,1.0851,1.0807,1.3078,2.296e-05,0.00037282,-0.0024892,0
0.5,1.1651,1.1637,0.01645,-0.02488,0,0,0,0,0.5,1.0861,1.078,1.3051,2.26e-05,0.0015186,-0.0050103,0
0.5,1.1725,1.1712,0.032843,-0.03657,0,0,0,0,0.5,1.0616,1.0513,1.2675,2.2156e-05,0.0033702,-0.0074618,0
0.5,1.1765,1.175,0.041463,-0.03479,0,0,0,0,0.5,1.0282,1.0167,1.2233,2.1913e-05,0.0058865,-0.009846,0
0.5,1.1774,1.1756,0.044588,-0.029718,0,0,0,0,0.5,0.99375,0.98193,1.1815,2.1884e-05,0.0090831,-0.012215,0
0.5,1.1785,1.1765,0.046348,-0.025509,0,0,0,0,0.5,0.96058,0.94881,1.141,2.1972e-05,0.013073,-0.014629,0
0.5,1.1828,1.1809,0.04907,-0.022811,0,0,0,0,0.5,0.92925,0.91779,1.0998,2.2091e-05,0.018115,-0.017184,0
0.5,1.1951,1.1933,0.054392,-0.021515,0,0,0,0,0.5,0.89906,0.88807,1.0533,2.2151e-05,0.02473,-0.020021,0
0.5,1.2195,1.2179,0.062649,-0.020849,0,0,0,0,0.5,0.86894,0.85859,0.99783,2.2084e-05,0.034023,-0.023384,0
0.5,1.2333,1.2315,0.065534,-0.017654,0,0,0,0,0.5,0.83511,0.82557,0.94785,2.2077e-05,0.048884,-0.027825,0
0.5,1.1895,1.187,0.044813,-0.0093861,0,0,0,0,0.5,0.79702,0.78849,0.93834,2.2587e-05,0.077031,-0.034406,0
0.5,1.1344,1.1316,0.019596,-0.0028074,0,0,0,0,0.5,0.76164,0.75418,0.93981,2.3226e-05,0.11888,-0.041762,0
0.5,1.1341,1.1315,0.019359,-0.0022003,0,0,0,0,0.5,0.73192,0.72532,0.90373,2.3333e-05,0.15801,-0.047043,0
