"ScQGD","T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","alphaQGD","p","pMean","rho","tauQGD","Points:0","Points:1","Points:2"
0.5,1.1791,1.174,0.039671,0.0039852,0,0,0,0,0.5,0.52191,0.53337,0.62005,2.2958e-05,0.19153,0.050808,0
0.5,1.2036,1.1978,0.046333,0.0036931,0,0,0,0,0.5,0.52463,0.53502,0.61019,2.2709e-05,0.24553,0.055669,0
0.5,1.1925,1.1872,0.040522,0.0021633,0,0,0,0,0.5,0.52412,0.53325,0.61527,2.2781e-05,0.29964,0.059165,0
0.5,1.1883,1.1834,0.038139,0.001224,0,0,0,0,0.5,0.52448,0.53217,0.61784,2.2787e-05,0.35381,0.061464,0
0.5,1.1845,1.1799,0.036042,0.00041225,0,0,0,0,0.5,0.52834,0.53439,0.6244,2.2787e-05,0.40802,0.062631,0
0.5,1.1797,1.1756,0.033971,-0.00033638,0,0,0,0,0.5,0.53532,0.53954,0.63524,2.279e-05,0.46224,0.062693,0
0.5,1.1709,1.1672,0.030717,-0.0010394,0,0,0,0,0.5,0.54579,0.54811,0.65258,2.2821e-05,0.51644,0.061541,0
0.5,1.1579,1.1544,0.025703,-0.0015429,0,0,0,0,0.5,0.56115,0.56167,0.67849,2.2885e-05,0.5706,0.059013,0
0.5,1.1455,1.1418,0.020406,-0.0017391,0,0,0,0,0.5,0.58128,0.58026,0.71044,2.2951e-05,0.62468,0.055076,0
0.5,1.1368,1.133,0.016427,-0.0017504,0,0,0,0,0.5,0.60319,0.60102,0.7428,2.2997e-05,0.67866,0.049938,0
0.5,1.1311,1.1272,0.013589,-0.0017014,0,0,0,0,0.5,0.6243,0.6213,0.77263,2.3028e-05,0.73252,0.043771,0
0.5,1.1264,1.1222,0.011121,-0.0015867,0,0,0,0,0.5,0.64423,0.64068,0.80069,2.3062e-05,0.78628,0.036664,0
0.5,1.1236,1.1192,0.0085794,-0.0013654,0,0,0,0,0.5,0.66316,0.65929,0.82619,2.3088e-05,0.83991,0.028706,0
0.5,1.1148,1.1098,0.0056664,-0.0010037,0,0,0,0,0.5,0.68088,0.67689,0.85512,2.3186e-05,0.89342,0.019982,0
0.5,1.1169,1.1116,0.0030246,-0.00079509,0,0,0,0,0.5,0.68824,0.68413,0.86267,2.3167e-05,0.9468,0.010479,0
0.5,1.1299,1.1256,0.0081622,-0.0007599,0,0,0,0,0.5,0.70611,0.70223,0.8747,2.3235e-05,0.99123,0.0017279,0
0.5,1.1862,1.1821,0.021455,0.078639,0,0,0,0,0.5,0.98375,0.9877,1.1623,2.2756e-05,0.00025747,0.0017279,0
0.5,1.1938,1.1892,0.029327,0.090885,0,0,0,0,0.5,0.95816,0.96361,1.1247,2.265e-05,0.0003707,0.0024877,0
0.5,1.2215,1.2157,0.062261,0.10518,0,0,0,0,0.5,0.85927,0.8687,0.98524,2.2067e-05,0.0015152,0.005007,0
0.5,1.2309,1.2249,0.08114,0.090587,0,0,0,0,0.5,0.77159,0.78373,0.8775,2.1601e-05,0.00337,0.0074531,0
0.5,1.2246,1.2191,0.083666,0.068518,0,0,0,0,0.5,0.70592,0.71962,0.8068,2.1429e-05,0.0058968,0.0098224,0
0.5,1.2154,1.2103,0.079292,0.051083,0,0,0,0,0.5,0.66025,0.6747,0.76037,2.1467e-05,0.0091115,0.012161,0
0.5,1.2117,1.2067,0.075437,0.039941,0,0,0,0,0.5,0.62828,0.643,0.72584,2.1582e-05,0.013126,0.014528,0
0.5,1.2183,1.2128,0.074557,0.033257,0,0,0,0,0.5,0.60606,0.62072,0.69644,2.1679e-05,0.018199,0.017011,0
0.5,1.2415,1.2348,0.078013,0.029664,0,0,0,0,0.5,0.59128,0.60559,0.66689,2.1662e-05,0.024848,0.019753,0
0.5,1.2787,1.2704,0.085225,0.027509,0,0,0,0,0.5,0.58119,0.59493,0.63648,2.1523e-05,0.034174,0.023005,0
0.5,1.2826,1.2744,0.084316,0.022393,0,0,0,0,0.5,0.56933,0.58259,0.62137,2.1638e-05,0.049054,0.027343,0
0.5,1.1998,1.1948,0.054015,0.011355,0,0,0,0,0.5,0.55161,0.56481,0.6449,2.2517e-05,0.077179,0.033928,0
0.5,1.1213,1.1188,0.021903,0.0031851,0,0,0,0,0.5,0.53704,0.5499,0.67047,2.3379e-05,0.11897,0.041461,0
0.5,1.1272,1.1239,0.02169,0.0025953,0,0,0,0,0.5,0.52602,0.53822,0.65353,2.3421e-05,0.15803,0.046964,0
