"ScQGD","T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","alphaQGD","p","pMean","rho","tauQGD","Points:0","Points:1","Points:2"
1,1.1451,1.1394,0.012785,-0.0017451,0,0,0,0,0.5,0.67778,0.6722,0.82854,2.3081e-05,0.99123,0.0017279,0
1,1.1475,1.1418,0.013485,-0.0016681,0,0,0,0,0.5,0.68013,0.67457,0.82966,2.3096e-05,1,0,0
1,1.1849,1.1799,0.033367,-0.0023607,0,0,0,0,0.5,0.70835,0.70208,0.83687,2.2874e-05,0.24552,-0.055173,0
1,1.1687,1.1639,0.028137,-0.0026534,0,0,0,0,0.5,0.72727,0.72039,0.87142,2.3043e-05,0.19155,-0.050687,0
1,1.1881,1.1829,0.034412,-0.0013203,0,0,0,0,0.5,0.68511,0.67945,0.80729,2.2791e-05,0.29959,-0.058128,0
1,1.19,1.1848,0.035345,-8.4701e-07,0,0,0,0,0.5,0.66052,0.65542,0.77696,2.2688e-05,0.35373,-0.059237,0
1,1.182,1.1767,0.032839,0.0014499,0,0,0,0,0.5,0.64364,0.6389,0.76229,2.2648e-05,0.40787,-0.057987,0
1,1.1666,1.1615,0.02739,0.0023597,0,0,0,0,0.5,0.64019,0.63549,0.76826,2.2676e-05,0.46189,-0.054345,0
1,1.1527,1.1477,0.021817,0.0025802,0,0,0,0,0.5,0.64897,0.64404,0.78818,2.2725e-05,0.51576,-0.048767,0
1,1.1443,1.1393,0.017876,0.0024574,0,0,0,0,0.5,0.6637,0.65845,0.81195,2.2773e-05,0.56948,-0.041925,0
1,1.1398,1.1348,0.015326,0.002245,0,0,0,0,0.5,0.6792,0.67368,0.8342,2.2832e-05,0.62311,-0.034398,0
1,1.1371,1.1321,0.013464,0.0019882,0,0,0,0,0.5,0.69363,0.6879,0.85391,2.2914e-05,0.6767,-0.026614,0
1,1.1356,1.1306,0.012033,0.0016939,0,0,0,0,0.5,0.70661,0.70075,0.87106,2.302e-05,0.73031,-0.018974,0
1,1.1348,1.1298,0.010974,0.0013801,0,0,0,0,0.5,0.7177,0.7118,0.88529,2.3141e-05,0.78401,-0.011917,0
1,1.135,1.1299,0.010211,0.0010474,0,0,0,0,0.5,0.72654,0.72067,0.89608,2.3262e-05,0.83782,-0.0058409,0
1,1.1364,1.1312,0.010007,0.0006741,0,0,0,0,0.5,0.73318,0.7274,0.90316,2.3365e-05,0.89177,-0.0012258,0
1,1.1438,1.1387,0.014688,-0.00029485,0,0,0,0,0.5,0.71789,0.71242,0.87871,2.336e-05,0.94587,0.0011241,0
1,1.1696,1.1648,0.0022046,0.023254,0,0,0,0,0.5,1.1323,1.1239,1.3553,2.299e-05,0,0,0
1,1.1744,1.1694,0.011005,0.038299,0,0,0,0,0.5,1.0843,1.0781,1.2928,2.2867e-05,0.00025747,0.0017279,0
1,1.1678,1.1632,0.0021977,-0.0005818,0,0,0,0,0.5,1.1583,1.147,1.3885,2.2898e-05,0.00037282,-0.0024892,0
1,1.1691,1.1647,0.01135,-0.0174,0,0,0,0,0.5,1.1439,1.1309,1.3697,2.2561e-05,0.0015186,-0.0050103,0
1,1.1714,1.167,0.021228,-0.023499,0,0,0,0,0.5,1.1083,1.0946,1.3245,2.2166e-05,0.0033702,-0.0074618,0
1,1.1724,1.168,0.027306,-0.022861,0,0,0,0,0.5,1.0676,1.0537,1.2747,2.1951e-05,0.0058865,-0.009846,0
1,1.1722,1.1677,0.030379,-0.020278,0,0,0,0,0.5,1.0282,1.0145,1.2279,2.1932e-05,0.0090831,-0.012215,0
1,1.1723,1.1678,0.03221,-0.017765,0,0,0,0,0.5,0.99127,0.97803,1.1837,2.203e-05,0.013073,-0.014629,0
1,1.1737,1.1693,0.033791,-0.015713,0,0,0,0,0.5,0.95719,0.94447,1.1416,2.2176e-05,0.018115,-0.017184,0
1,1.1781,1.1735,0.035898,-0.014168,0,0,0,0,0.5,0.92517,0.91306,1.0994,2.2311e-05,0.02473,-0.020021,0
1,1.1866,1.1821,0.038936,-0.012917,0,0,0,0,0.5,0.89388,0.88246,1.0546,2.2387e-05,0.034023,-0.023384,0
1,1.1941,1.1894,0.040782,-0.010962,0,0,0,0,0.5,0.85924,0.84869,1.0074,2.2437e-05,0.048884,-0.027825,0
1,1.1816,1.1769,0.034488,-0.0071457,0,0,0,0,0.5,0.8194,0.8099,0.9706,2.2653e-05,0.077031,-0.034406,0
1,1.1568,1.1521,0.023535,-0.0035391,0,0,0,0,0.5,0.78056,0.77212,0.94448,2.2999e-05,0.11888,-0.041762,0
1,1.1495,1.1449,0.020888,-0.002414,0,0,0,0,0.5,0.74939,0.74182,0.91266,2.3175e-05,0.15801,-0.047043,0
