"ScQGD","T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","alphaQGD","p","pMean","rho","tauQGD","Points:0","Points:1","Points:2"
1,1.1683,1.1676,0.030654,0.0030892,0,0,0,0,0.5,0.57526,0.58001,0.68947,2.3059e-05,0.19153,0.050808,0
1,1.1826,1.1816,0.034527,0.0027218,0,0,0,0,0.5,0.57085,0.57584,0.67572,2.291e-05,0.24553,0.055669,0
1,1.179,1.178,0.032757,0.0017568,0,0,0,0,0.5,0.5645,0.56977,0.67024,2.2911e-05,0.29964,0.059165,0
1,1.1776,1.1767,0.031614,0.0010163,0,0,0,0,0.5,0.55882,0.56431,0.66426,2.289e-05,0.35381,0.061464,0
1,1.1761,1.1751,0.030557,0.00035135,0,0,0,0,0.5,0.55594,0.56156,0.6617,2.2868e-05,0.40802,0.062631,0
1,1.174,1.173,0.029543,-0.00028965,0,0,0,0,0.5,0.55551,0.56116,0.66238,2.2846e-05,0.46224,0.062693,0
1,1.17,1.1692,0.028045,-0.00094442,0,0,0,0,0.5,0.55792,0.56346,0.66752,2.283e-05,0.51644,0.061541,0
1,1.1636,1.1629,0.025582,-0.0015272,0,0,0,0,0.5,0.56456,0.56985,0.67922,2.2829e-05,0.5706,0.059013,0
1,1.1563,1.1557,0.022555,-0.0019068,0,0,0,0,0.5,0.57627,0.58117,0.69768,2.2843e-05,0.62468,0.055076,0
1,1.1501,1.1495,0.019798,-0.0020942,0,0,0,0,0.5,0.59143,0.5959,0.71992,2.2864e-05,0.67866,0.049938,0
1,1.1452,1.1447,0.017554,-0.0021845,0,0,0,0,0.5,0.6077,0.61176,0.74287,2.2886e-05,0.73252,0.043771,0
1,1.141,1.1406,0.01565,-0.0022154,0,0,0,0,0.5,0.62412,0.62782,0.7657,2.2913e-05,0.78628,0.036664,0
1,1.1386,1.1382,0.013962,-0.0021963,0,0,0,0,0.5,0.64037,0.64377,0.78728,2.2935e-05,0.83991,0.028706,0
1,1.1303,1.1299,0.012009,-0.0020949,0,0,0,0,0.5,0.65585,0.659,0.81234,2.3026e-05,0.89342,0.019982,0
1,1.1345,1.134,0.0093499,-0.0021641,0,0,0,0,0.5,0.65834,0.66119,0.81246,2.2987e-05,0.9468,0.010479,0
1,1.1469,1.1463,0.012989,-0.0017744,0,0,0,0,0.5,0.67097,0.67364,0.81895,2.3063e-05,0.99123,0.0017279,0
1,1.1755,1.1753,0.011037,0.038338,0,0,0,0,0.5,1.0857,1.0867,1.2932,2.2856e-05,0.00025747,0.0017279,0
1,1.1777,1.1775,0.014914,0.045004,0,0,0,0,0.5,1.0645,1.0656,1.2656,2.2802e-05,0.0003707,0.0024877,0
1,1.1861,1.1859,0.032448,0.054187,0,0,0,0,0.5,0.97547,0.97703,1.1514,2.2393e-05,0.0015152,0.005007,0
1,1.1897,1.1894,0.044648,0.049813,0,0,0,0,0.5,0.89279,0.89474,1.0505,2.1971e-05,0.00337,0.0074531,0
1,1.1886,1.1883,0.049494,0.040847,0,0,0,0,0.5,0.82651,0.82879,0.97335,2.1752e-05,0.0058968,0.0098224,0
1,1.1861,1.1858,0.05019,0.032669,0,0,0,0,0.5,0.77604,0.7786,0.91584,2.173e-05,0.0091115,0.012161,0
1,1.185,1.1846,0.04964,0.026479,0,0,0,0,0.5,0.73745,0.74023,0.87116,2.1824e-05,0.013126,0.014528,0
1,1.1865,1.1861,0.04902,0.021917,0,0,0,0,0.5,0.70789,0.71086,0.83518,2.1968e-05,0.018199,0.017011,0
1,1.1924,1.1919,0.049162,0.018647,0,0,0,0,0.5,0.68541,0.68854,0.80471,2.2103e-05,0.024848,0.019753,0
1,1.2034,1.2027,0.050516,0.016235,0,0,0,0,0.5,0.66754,0.67084,0.77658,2.2185e-05,0.034174,0.023005,0
1,1.2102,1.2094,0.050519,0.013396,0,0,0,0,0.5,0.64934,0.65286,0.75107,2.2273e-05,0.049054,0.027343,0
1,1.1895,1.1888,0.041289,0.008621,0,0,0,0,0.5,0.62606,0.62993,0.73673,2.259e-05,0.077179,0.033928,0
1,1.1558,1.1554,0.027485,0.0042561,0,0,0,0,0.5,0.60203,0.60629,0.72913,2.3028e-05,0.11897,0.041461,0
1,1.1469,1.1465,0.023754,0.0028857,0,0,0,0,0.5,0.5841,0.58864,0.71296,2.3217e-05,0.15803,0.046964,0
